Name,career_WAR,seasons_played,
Aaron Judge,36.7,4,5.9
Bobby Witt Jr.,18.6,3,5.3
Shohei Ohtani,24.1,4,5.8
Juan Soto,32.8,6,5.4
Gunnar Henderson,12.5,2,4
Francisco Lindor,50.5,9,4.5
Jarren Duran,6.9,1,3
Jose Ramirez,49.8,9,4.9
Elly De La Cruz,6.5,1,4
Ketel Marte,22.3,6,3.716666667
William Contreras,11.4,2,5.7
Matt Chapman,27.8,6,4.633333333
Cal Raleigh,9.9,2,5.1
Jackson Merrill,5.3,1,5.3
Yordan Alvarez,15,3,5
Vladimir Guerrero Jr.,16.6,6,2.766666667
Brent Rooker,7.2,2,3.6
Bryce Harper,39.8,9,4.422222222
Willy Adames,20.3,6,3.383333333
Marcell Ozuna,26.7,9,2.966666667
Corey Seager,31.4,7,4.485714286
Mookie Betts,57.7,10,5.2
Jurickson Profar,9.2,6,1.533333333
Rafael Devers,24.2,6,4.033333333
Steven Kwan,12.1,3,4.033333333
Corbin Carroll,9.5,2,4.75
Dansby Swanson,24.2,8,3.025
Marcus Semien,34.7,9,3.855555556
Alex Bregman,34.8,6,4.8
Riley Greene,4,1,3.5
Jackson Chourio,4,1,3.5
Jazz Chisholm Jr.,5.8,2,2.9
Julio Rodriguez,15.6,3,3.5
Freddie Freeman,57.8,13,4.446153846
Jose Altuve,53.7,12,4.475
Colton Cowser,3.9,1,3.9
Nico Hoerner,12.7,3,4.233333333
Trea Turner,33.7,7,4.814285714
Eugenio Suarez,27.4,9,3.044444444
Brenton Doyle,3.7,1,3.7
Ezequiel Tovar,5.4,2,2.7
Masyn Winn,3.6,1,3.6
Seiya Suzuki,6.6,2,3.3
Manny Machado,49.8,11,4.527272727
Ian Happ,13.9,5,2.78
Oneil Cruz,3.5,1,3.5
Zach Neto,3.5,1,3.5
Anthony Volpe,5.4,2,2.7
Teoscar Hernandez,14.7,6,2.45
Alec Bohm,6.2,3,2.066666667
Isaac Paredes,7.6,2,3.8
Kyle Schwarber,11.1,6,1.85
Anthony Santander,8,3,2.666666667
Salvador Perez,12,8,1.5
JJ Bleday,3.2,1,3.2
Brendan Donovan,3.2,1,3.2
Joey Ortiz,3.2,1,3.2
Daulton Varsho,9.6,3,3.2
Tyler Stephenson,2.5,2,1.25
Nolan Arenado,48.1,11,4.372727273
Christian Walker,14.5,5,2.9
Yainer Diaz,3,1,3
Luis Garcia Jr.,3,1,3
Carlos Santana,26.7,14,1.907142857
Wyatt Langford,3,1,3
Willi Castro,3,1,3
Nathaniel Lowe,10.7,4,2.675
Jonathan India,7.8,3,2.6
Josh Smith,2.9,1,2.9
Taylor Ward,6.5,2,3.25
Brandon Nimmo,19.1,5,3.82
Andres Gimenez,12.7,3,4.233333333
Adley Rutschman,8.2,2,4.1
Jeremy Pena,8.7,3,2.9
Matt Olson,24.5,7,3.5
Will Smith,10.7,3,3.566666667
Brice Turang,2.6,1,2.6
Jacob Young,2.6,1,2.6
Matt Vierling,4.2,2,2.1
Heliot Ramos,2.3,1,2.3
Josh Naylor,2.3,1,2.3
Michael Busch,2.2,1,2.2
Lourdes Gurriel Jr.,7.3,4,1.825
Bryan Reynolds,17.2,6,2.866666667
Pete Alonso,17.4,6,2.9
Cody Bellinger,24.9,7,3.557142857
Jake Cronenworth,12.1,5,2.42
Logan O'Hoppe,2.1,1,2.1
Shea Langeliers,2,1,2
Randy Arozarena,11.8,4,2.95
Jake Meyers,2,1,2
Yandy Diaz,12.5,4,3.125
CJ Abrams,4.2,2,2.1
Ryan McMahon,10.3,6,1.716666667
Gleyber Torres,12.8,5,2.56
Colt Keith,1.8,1,1.8
Bryson Stott,5.8,2,2.9
Sal Frelick,1.6,1,1.6
Vinnie Pasquantino,1.5,1,1.5
Jesus Sanchez,1.5,1,1.5
Spencer Steer,3.5,2,1.75
Jake Burger,3.6,2,1.8
Ryan Mountcastle,3.9,3,1.3
Lane Thomas,5.7,3,1.9
Zack Gelof,1.4,1,1.4
Jesse Winker,2,2,1
Leody Taveras,3.7,2,1.85
Maikel Garcia,3.3,2,1.65
Jorge Soler,6.4,4,1.6
Luis Arraez,7.2,3,2.4
Justin Turner,22.4,7,3.2
Paul Goldschmidt,51.6,12,4.3
George Springer,26.6,8,3.325
Ceddanne Rafaela,0.9,1,0.9
Brendan Rodgers,2.6,2,1.3
Orlando Arcia,5.4,5,1.08
Nolan Schanuel,0.7,1,0.7
Alex Verdugo,6.6,5,1.32
Alec Burleson,0.6,1,0.6
Andrew McCutchen,46.6,13,3.584615385
Nick Castellanos,12.3,10,1.23
Rhys Hoskins,6.7,4,1.675
Josh Bell,9.6,8,1.2
Andrew Vaughn,-0.2,3,-0.066666667
Adolis Garcia,10.5,4,2.625
Andrew Benintendi,10.2,7,1.457142857
Ty France,6.3,4,1.575
Christopher Morel,-1,1,-1
Bryan De La Cruz,-1.5,2,-0.75
